feature,importance,tipo,seleccionada,umbral_falsa_max
ctarjeta_visa_debitos_automaticos_delta1,0.00018788934852432534,real,False,0.004158182017433896
Visa_msaldodolares,0.0001817386471240623,real,False,0.004158182017433896
mcuenta_debitos_automaticos_lag2,0.00017924952051432178,real,False,0.004158182017433896
cextraccion_autoservicio_delta2,0.00016837617332827396,real,False,0.004158182017433896
Visa_mconsumosdolares_delta2,0.00016541611220001828,real,False,0.004158182017433896
cdescubierto_preacordado,0.00016404732696434466,real,False,0.004158182017433896
mpayroll_delta1,0.00016350720571687953,real,False,0.004158182017433896
tmobile_app_lag2,0.00016200434257019564,real,False,0.004158182017433896
Master_mconsumospesos_delta2,0.00015679425226455682,real,False,0.004158182017433896
mtarjeta_visa_descuentos,0.00015530185999915622,real,False,0.004158182017433896
ctransferencias_recibidas_delta1,0.00015349512797991854,real,False,0.004158182017433896
Master_msaldototal_lag2,0.00015190849637887146,real,False,0.004158182017433896
Master_mlimitecompra_delta2,0.00014852120678367383,real,False,0.004158182017433896
